abn_key,Charity_Legal_Name,State,Town_City,Charity_Website,charity size,staff - volunteers,total full time equivalent staff,total revenue,net assets/liabilities,beneficiary_count,states_operating,years_operating,pillar_legitimacy,pillar_impact,pillar_capacity,pillar_cause,fit_score,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,rank,is_top_10
98242517537,Wakehurst Public School P&C Association,NSW,BELROSE,https://wpspandc.com/,Medium,30,0.68,290580,147852,1,0,21.0,79.24826741908444,9.26895474667516,79.71593090211132,4.10958904109589,39.6,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,15825,0
52122463099,C.M. Humanitarian Association Incorporated,NT,Nightcliff,https://chagga-mzungu.org/,Small,4,0.0,7399,70,2,0,,70.0,2.2783442930207403,100.0,5.47945205479452,39.6,,,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,15826,0
49695990715,Macquarie Area Rehabilitationspecialties Inc,NSW,North Avoca,actionfoundation.org.au,Small,10,0.0,123000,287000,2,1,32.0,59.2,6.838717875408994,100.0,10.95890410958904,39.6,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,15827,0
37430124689,Esperance Seafarers Centre Incorporated,WA,Esperance,,Small,6,1.1,88770,1396836,3,0,53.0,84.35092718946932,4.099334621349293,76.30518234165066,8.21917808219178,39.6,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,Y,,Y,,15828,0
15168279865,Maggie Beer Foundation Ltd,SA,Adelaide,www.maggiebeerfoundation.org.au,Medium,1,0.6,450093,75305,7,0,,58.64724586835584,6.968395597064708,79.98464491362765,27.397260273972602,39.6,Y,Y,Y,,,,Y,,Y,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,,,,,15829,0
71864290475,Open Door Korean Cultural Society Limited,NSW,Chatswood,,Small,7,0.0,82916,8591464,2,0,22.0,83.2,2.558531084214867,80.0,8.21917808219178,39.6,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,15830,0
83067370457,The Trustee For Stella Conway Trust,NSW,Sydney,,Small,0,0.0,160126,4153011,0,0,41.0,94.6,0.0,80.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,15831,0
68632857710,THE TRUSTEE FOR HAROLD STANNETT WILLIAMS NO 4 SETTLEMENT,VIC,Melbourne,,Small,0,0.0,98967,1762630,0,1,33.0,89.8,4.0,80.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15832,0
33101094479,Mount Isa Base Hospital Auxiliary Inc,,,,Small,5,0.0,56901,22569,1,1,23.0,83.8,5.419358937704497,80.0,4.10958904109589,39.6,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,15833,0
37207698349,Health Communication Resources Inc,,,www.h-c-r.org,Small,8,2.4,183874,64307,3,1,21.0,60.26559640863714,8.020974300327195,91.93857965451056,15.068493150684931,39.6,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,Y,,Y,,,Y,,,,Y,,15834,0
37003761555,Dunedoo Mendooran Aged Hostel Ltd.,NSW,Dunedoo,,Small,6,0.0,3484,397672,1,0,31.0,88.6,1.512754534769206,80.0,4.10958904109589,39.6,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15835,0
82694395104,Hobart Cooperative Housing Society Ltd,TAS,North Hobart,,Small,0,0.0,179973,1510110,1,0,34.0,90.4,0.9523809523809524,80.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,15836,0
48615566857,Dharma & Raaga Sunderkand Pariwaar Limited,VIC,Wyndham Vale,http://www.dharmaandraaga.com.au,Small,5,0.0,170,92,2,0,,70.0,2.3717398900854496,100.0,5.47945205479452,39.6,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,15837,0
36339159617,Research Pre School Inc,VIC,Research,researchpreschool.kindergarten.vic.gov.au/,Small,12,2.1,207191,243767,1,1,55.0,73.15136150448367,6.787413831443174,92.94625719769674,2.73972602739726,39.6,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,15838,0
46169518527,Northampton Motors & Machinery Restoration Group Inc,WA,Northampton,,Small,20,0.0,5273,20000,2,1,14.0,78.4,7.772673846056083,80.0,6.8493150684931505,39.6,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15839,0
41309670936,National Chinese Museum of Australia Limited,VIC,Bendigo,www.goldendragonmuseum.org,Medium,20,3.2,361306,676748,4,1,25.0,76.69981566172352,10.458685750817988,71.25143953934742,12.32876712328767,39.6,,,,Y,,,Y,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,15840,0
33364153045,Canowindra Pre-School Kindergarten Inc.,NSW,Canowindra,www.canowindrapreschool.com.au,Medium,0,6.83,676181,952981,6,0,50.0,77.07258557884043,5.714285714285714,59.05854126679463,27.397260273972602,39.6,Y,,,,,Y,Y,Y,,Y,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,15841,0
66214160930,The Trustee For Westminster Foundation,VIC,Box Hill North,,Small,4,0.0,2201,112518,2,1,17.0,80.2,6.278344293020741,80.0,6.8493150684931505,39.6,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,15842,0
47852611032,R & J Uebergang Foundation,VIC,WARRNAMBOOL,,Medium,0,0.0,632968,8676469,3,1,35.0,91.0,6.857142857142858,62.0,9.58904109589041,39.6,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,,,Y,,,,Y,,,Y,,15843,0
77870780578,Give2Good Charitable Foundation,WA,Perth,www.give2good.com.au,Small,0,0.0,217,3452,0,1,6.0,73.6,4.0,100.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,15844,0
36203521364,The Trustee For United Uranium Trust Fund,NSW,Sydney,,Small,0,0.0,9627,231391,1,0,34.0,90.4,0.9523809523809524,80.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,15845,0
45457153567,Shangri-La Wildlife Incorporated,,,,Small,3,0.0,8668,27373,3,1,13.0,77.8,7.1373296483369835,80.0,8.21917808219178,39.6,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,15846,0
95124340063,The Trustee For The Hutt Family Foundation,WA,Mundaring,,Small,1,0.0,29205,517110,3,0,14.0,78.4,2.950538454207566,80.0,12.32876712328767,39.6,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,15847,0
82032320467,BROADWAY PARISH CATHOLIC CHARITIES TRUST,NSW,Chippendale,www.stbenedicts.org.au,Small,0,0.0,24320,139306,0,0,14.0,78.4,0.0,100.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15848,0
33208961494,The Trustee For Thomas Bailey Trust,,Bayswater,,Small,7,0.0,50516,753949,1,1,25.0,85.0,5.606150131833915,80.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,15849,0
51531107177,Albie House,TAS,Hobart,www.albiehouse.com.au/,Small,7,0.0,1265,29219,1,0,6.0,73.6,1.6061501318339146,100.0,2.73972602739726,39.6,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,15850,0
94480474157,Torres Strait Islanders Regional Education Council Incorporated,QLD,THURSDAY ISLAND,tsirec.com.au,Medium,20,0.8,404527,8834,5,0,21.0,61.384052799928256,9.75481670319894,79.31285988483685,21.91780821917808,39.6,Y,,,Y,,Y,,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,15851,0
46631728104,CUC Snowy Monaro Ltd,NSW,Cooma,www.cucsnowymonaro.edu.au,Medium,7,1.18,345151,478929,6,1,,62.00936100481651,11.10958031746749,78.03646833013435,20.54794520547945,39.6,,Y,Y,,,,,,Y,,,,Y,,,,,,Y,,,,,Y,,,Y,,,,,,,,,,15852,0
94051188747,Estate Keila Hinde,VIC,Melbourne,,Small,0,0.0,137411,3638110,0,1,33.0,89.8,4.0,80.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,15853,0
17504563681,Kendenup Primary School Parents And Citizens Association Incorporated,,,,Small,5,0.0,26296,24134,1,0,31.0,88.6,1.419358937704497,80.0,4.10958904109589,39.6,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,15854,0
